,country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations,percentage_vaccinated,tested_positive,confirmed_rate,death_rate,death_rate2,active_cases_rate,serious_rate,fully_vaccintated_rate
0,Afghanistan,Asia,66275,2812.0,56035,7428,1124.0,1669,71.0,446456.0,11244.0,39705801,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",448878.0,1.15,55624.0,0.14,1.3,504502.0,1.270600232948329,14.84468794237282,0.16691515680542499,4.242927197284044,0.007082088584486685,0.018707593885336805,0.002830820614851719,0.14009036110365838
1,Albania,Europe,132209,2444.0,128732,1033,18.0,45986,850.0,696434.0,242239.0,2874990,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",460191.0,15.99,228756.0,7.95,23.94,688947.0,23.96345726419918,18.98370843468297,4.598589908138811,1.8485882201665544,0.08500899133562204,0.035930559758468726,0.0006260891342230756,7.956758110462993
2,Algeria,Africa,126860,3418.0,88346,35096,18.0,2847,77.0,230861.0,5182.0,44554310,Sputnik V,,,,,0.17,75000.0,0.168333882849942,54.95081455941021,0.2847311517112486,2.6943086867412895,0.007671536154414691,0.07877127936668753,4.0400131883986085e-05,
3,Andorra,Europe,13569,127.0,13234,208,12.0,175367,1641.0,193595.0,2502036.0,77375,"Oxford/AstraZeneca, Pfizer/BioNTech",26931.0,34.86,4702.0,6.09,40.94,31633.0,40.8827140549273,7.00896200831633,17.536672051696286,0.9359569607192866,0.1641357027463651,0.2688206785137318,0.015508885298869143,6.076898222940226
4,Angola,Africa,32441,725.0,26778,4938,11.0,961,21.0,553070.0,16377.0,33770175,Oxford/AstraZeneca,606287.0,1.84,75215.0,0.23,2.07,681502.0,2.0180588344596972,5.865622796391054,0.09606405652324869,2.234826300052403,0.0021468648000787676,0.01462237018315718,3.257312110464337e-05,0.2227261185350683
5,Anguilla,North America,109,,107,2,,7208,,21979.0,1453445.0,15122,Oxford/AstraZeneca,8811.0,58.73,4424.0,29.49,88.22,13235.0,87.52149186615526,0.4959279312070613,0.7208041264383018,,,0.013225763787858748,,29.255389498743554
6,Antigua And Barbuda,North America,1257,42.0,1192,23,2.0,12742,426.0,16700.0,169284.0,98651,,,,,,,,,7.526946107784431,1.274188807006518,3.341288782816229,0.04257432768040871,0.023314512777366677,0.0020273489371623195,
7,Argentina,South America,3539484,74063.0,3106949,358472,6214.0,77680,1625.0,13187035.0,289410.0,45565172,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",8279961.0,18.32,2103964.0,4.66,22.98,10383925.0,22.789171080052107,26.84063551814339,7.767959265028122,2.0924801468236613,0.16254300543406267,0.7867236844842811,0.01363760900540439,4.617482844133673
8,Armenia,Asia,221948,4392.0,211057,6499,,74776,1480.0,1060108.0,357157.0,2968187,"Oxford/AstraZeneca, Sinovac, Sputnik V",19249.0,0.65,,,0.65,19249.0,0.6485103532897355,20.93635742773378,7.477561218346418,1.9788418908933625,0.14796911380583502,0.21895520733700405,,
9,Aruba,North America,10917,107.0,10743,67,14.0,101866,998.0,161649.0,1508342.0,107170,Pfizer/BioNTech,58683.0,54.96,37324.0,34.96,89.92,96007.0,89.58383876084726,6.753521518846389,10.186619389754595,0.9801227443436842,0.09984137351870859,0.06251749556778949,0.013063357282821686,34.82691051600261
10,Australia,Australia/Oceania,30019,910.0,29000,109,1.0,1165,35.0,17881036.0,694053.0,25763214,"Oxford/AstraZeneca, Pfizer/BioNTech",159294.0,0.62,,,12.48,3183324.0,12.356082591248125,0.16788177150361983,0.1165188473767287,3.0314134381558344,0.003532167997362441,0.0004230838590247319,3.88150329380488e-06,
11,Austria,Europe,641380,10546.0,622889,7945,236.0,70853,1165.0,38877709.0,4294827.0,9052217,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",3064524.0,34.03,1129198.0,12.54,46.39,4178215.0,46.15681440248284,1.6497371282860316,7.085336111584598,1.644267049175216,0.11650184700609806,0.08776855437734203,0.0026070961400947415,12.474270115265686
